ردیف,نام کالا,برند,قیمت فروش به ریال
3001,بلبرینگ چرخ جلو پژو405,PSN,"17,100,500"
3002,بلبرینگ تقویتی چرخ جلو405,PSN,"29,086,950"
3003,توپی چرخ عقب پژو405 - ترمز ضد قفلABS,PSN,"26,621,350"
3005,بلبرینگ چرخ عقب206 تیپ پنج,PSN,"29,351,450"
3006,بلبرینگ وسط پلوس405، سمند و پرشیا,PSN,"3,548,900"
3017,بلبرینگ چرخ جلو پراید جدید,PSN,"11,646,050"
3021,کیت کلاچ کامل پراید فنر دوبل,پلاستکس,"82,300,900"
3023,کیت کلاچ کامل پری دمپر6فنر پژو405,پلاستکس,"111,712,150"
3024,کیت کلاچ کامل پژو206 تیپ5,پلاستکس,"108,903,850"
3033,بلبرینگ دوبل چرخ جلو پراید,پلاستکس,"13,040,885"
3038,بلبرینگ وسط پلوس پژو405 و206,پلاستکس,"3,827,890"
3041,توپی چرخ عقب پژو405 - پژو پارس- سمند - دنا -ABS,پلاستکس,"40,410,425"
3066,بلبرینگ ژامبون بزرگ داخلی پژو405,پلاستکس,"5,951,825"
3073,پولی هرزگرد پژو405,پلاستکس,"4,991,690"
3080,بلبرینگ تسمه تایم پژو405,پلاستکس,"9,382,505"
3081,بلبرینگ تسمه تایم متحرک پژو206 تیپ5,پلاستکس,"16,491,805"
3087,سرپلوس برلیانسABS-29TH 320/H330,امیدفنر,"41,947,400"
3088,سرپلوس کیا ریو22 خارABS,امیدفنر,"38,025,900"
3090,مشعلی گیربکس تیبا20 خارABS,امیدفنر,"30,663,600"
3091,مشعلی گیربکس پژو405-34 خارABS سمت راست,امیدفنر,"59,062,850"
3105,سه شاخه پلوس پژو405 - 34 خار,امیدفنر,"6,919,550"
3113,سرپلوس تیبا20 خارABS,امیدفنر,"26,008,400"
3117,سرپلوس پراید20 خارABS,امیدفنر,"24,756,050"
3126,پلوس کامل تیبا20 خارABS سمت راست,امیدفنر,"83,958,050"
3130,پلوس کامل پژو 405 - 22 خار ABS سمت چپ,امیدفنر,"83,237,000"
3142,شیر فرمان قدیم 405,امیدفنر,"75,900,000"
3144,شیر فرمان 206,امیدفنر,"83,490,000"
3145,جعبه فرمان قدیم 405,امیدفنر,"253,000,000"
3148,جعبه فرمان هیدرولیکی تیبا,امیدفنر,"253,000,000"
3151,اتوماتیک استارت پراید-پیکان(یوگسالوی),مجد,"20,071,295"
3158,استارت پرایدمدل(valeo),مجد,"93,494,885"
3160,استارت پژو405,مجد,"93,494,885"
3162,استب موتور( پژو405-سمند-پارس),مجد,"10,081,475"
3163,استب موتور پراید-پیکان-پژو206جدید و رانا,مجد,"10,081,475"
3165,اورینگ ترموستات پرایدEURO4,مجد,"250,010"
3170,اورینگ درب باک پژو206,مجد,"1,399,205"
3182,اورینگ سوزن انژکتور پراید زیمنس(NBR),مجد,"519,455"
3190,اورینگ منیفولد هوا پرایدEURO4 (سیلیکون),مجد,"1,553,995"
3201,آرمیچر دینام پراید(بامهره),مجد,"51,371,650"
3207,آفتامات دینام پرایدEURO4,مجد,"15,202,195"
3231,بازویی برف پاک کن پراید,مجد,"4,046,850"
3259,بوق پراید,مجد,"6,977,050"
3260,بوق پژو206,مجد,"12,801,800"
